GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2340,9860.27,25083.67,36001.35,-27062.88,-238671.72,12257.96,138397.46,-32186.09,1030.44,-44133.88,-31155.64,-75289.52
2350,9976.85,24980.4,36028.33,-27078.36,-238263.17,12231.12,138313.37,-32509.05,1032.78,-43811.47,-31476.28,-75287.74
2360,9994.75,25262.06,36054.13,-27026.84,-238479.82,12241.46,138220.35,-32321.11,1046.69,-43733.92,-31274.42,-75008.34
2370,9947.86,24930.26,36011.28,-26960.48,-238400.95,12320.58,138550.18,-32528.03,1037.96,-43601.26,-31490.07,-75091.33
2380,9905.49,25054.21,35959.39,-27036.26,-238475.61,12250.39,138461.24,-32416.88,1042.18,-43881.15,-31374.7,-75255.85
2390,9984.87,25228.51,36058.08,-27061.62,-238516.24,12248.56,138379.11,-32478.36,1038.48,-43678.73,-31439.88,-75118.61
2400,10218.25,24993.32,35984.73,-27038.41,-238402.5,12367.61,138465.53,-32579.6,1037.18,-43411.46,-31542.42,-74953.88
2410,10056.72,24779.63,36009.64,-27091.69,-238434.17,12223.82,138585.63,-32597.35,1037.85,-43870.42,-31559.5,-75429.92
2420,10051.02,25288.22,36094.93,-27098.41,-238332.08,12209.14,138169.72,-32526.64,1042.34,-43617.46,-31484.29,-75101.75
2430,10074.23,24985.56,36027.26,-26963.95,-238592.13,12239.88,138219.77,-32343.7,1047.76,-44009.37,-31295.94,-75305.31
2440,9870.65,25113.16,36086.22,-27058.99,-238836.85,12336.15,138426.18,-32208.11,1037.38,-44063.48,-31170.73,-75234.21
2450,10024.67,24934.37,36067.1,-26940.39,-238736.05,12221.94,138378.15,-32310.71,1048.51,-44050.21,-31262.2,-75312.41
2460,10058.22,25216.63,35960.55,-26964.56,-239032.71,12240.66,138358.93,-31990.78,1039.59,-44162.27,-30951.2,-75113.47
2470,9968.56,24863.51,36016.39,-26885.9,-238514.95,12232.56,138358.15,-32346.16,1043.73,-43961.68,-31302.43,-75264.11
2480,9907.43,25081.56,36138.1,-26888.7,-238780.55,12249.73,138406.62,-32253.03,1044.16,-43885.8,-31208.87,-75094.67
2490,10037.0,25019.35,35972.89,-26880.27,-238928.08,12291.98,138353.69,-32186.71,1044.48,-44133.43,-31142.23,-75275.66
2500,10029.4,24987.23,36164.21,-27060.7,-238562.43,12175.82,138170.15,-32310.73,1031.91,-44096.32,-31278.82,-75375.14
2510,10137.54,25077.13,36005.47,-26978.8,-238933.62,12235.25,138455.88,-32202.42,1045.71,-44001.14,-31156.72,-75157.86
2520,9867.29,25008.78,36107.08,-27016.65,-238614.31,12248.21,138415.82,-32463.15,1038.69,-43983.78,-31424.46,-75408.24
2530,9944.87,25296.39,36050.86,-27020.69,-238574.09,12304.51,138160.4,-32264.83,1042.21,-43837.73,-31222.62,-75060.35
2540,10143.42,24824.04,35937.38,-26983.66,-238532.39,12175.86,138315.33,-32368.64,1042.57,-44120.02,-31326.08,-75446.09
2550,10054.27,25113.93,36165.46,-27060.23,-238744.31,12291.29,138602.21,-32377.4,1038.27,-43577.38,-31339.12,-74916.5
2560,9909.81,25004.25,35912.87,-27051.7,-238989.82,12249.22,138729.95,-32264.28,1032.74,-44235.43,-31231.54,-75466.97
2570,9965.75,25130.67,36109.43,-27030.88,-239051.65,12289.28,138462.18,-32188.62,1040.86,-44125.21,-31147.76,-75272.98
2580,10002.25,25353.84,36033.24,-26941.12,-238874.81,12226.31,138493.16,-32288.48,1044.66,-43707.13,-31243.82,-74950.95
2590,9856.31,24907.75,36030.13,-27008.37,-238747.74,12242.92,138484.4,-32393.2,1046.02,-44234.6,-31347.18,-75581.78
2600,9920.0,25097.69,36164.49,-26992.74,-238923.4,12338.85,138728.7,-32286.49,1039.34,-43666.42,-31247.15,-74913.56
2610,9981.44,25087.03,36248.22,-27046.07,-239074.64,12219.27,138541.48,-32050.25,1039.1,-44043.27,-31011.14,-75054.41
2620,10067.31,25166.8,36042.14,-26931.38,-238679.52,12250.85,138281.72,-32373.42,1044.5,-43802.07,-31328.92,-75131.0
2630,9926.19,25018.57,36030.95,-26926.24,-238749.06,12304.92,138452.88,-32368.1,1051.04,-43941.78,-31317.07,-75258.85
2640,10017.08,25099.32,36094.59,-26817.65,-238773.52,12316.54,138528.64,-32427.07,1050.87,-43535.0,-31376.2,-74911.21
2650,10080.13,25243.06,36053.44,-26894.72,-238318.6,12261.79,138299.14,-32603.99,1046.98,-43275.77,-31557.0,-74832.77
