GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2230,9797.76,25044.26,36110.14,-26896.37,-238802.26,12310.63,138600.55,-32527.82,1044.73,-43835.29,-31483.09,-75318.38
2240,10040.49,24983.76,36125.49,-26964.08,-238080.78,12273.6,138297.49,-32893.94,1049.88,-43324.03,-31844.07,-75168.09
2250,9907.34,25088.69,36101.04,-27085.65,-238592.18,12281.87,138551.49,-32560.25,1034.26,-43747.4,-31525.99,-75273.39
2260,10037.32,25170.36,36143.53,-27024.14,-238174.95,12195.67,138277.61,-32721.52,1038.18,-43374.6,-31683.35,-75057.95
2270,10056.91,24903.29,36376.77,-27040.82,-238506.4,12269.96,138368.5,-32576.86,1037.18,-43571.79,-31539.68,-75111.48
2280,10003.1,25029.32,36078.34,-26922.71,-238537.42,12271.37,138389.75,-32585.87,1047.22,-43688.23,-31538.64,-75226.88
2290,9982.04,25230.08,36077.99,-27107.73,-238192.96,12158.17,138318.07,-32678.45,1041.37,-43534.35,-31637.09,-75171.43
2300,10073.7,25188.96,36024.38,-26971.09,-238475.73,12253.94,138520.59,-32627.81,1045.62,-43385.25,-31582.19,-74967.44
2310,9923.12,25260.31,35996.74,-26979.2,-238580.65,12285.43,138408.03,-32450.72,1040.68,-43686.22,-31410.04,-75096.26
2320,10158.53,25131.67,36108.3,-26903.26,-238273.98,12181.9,138514.58,-32850.85,1052.34,-43082.25,-31798.51,-74880.77
2330,10146.65,25079.08,36072.64,-27012.32,-238548.79,12211.66,138524.01,-32576.39,1043.68,-43527.06,-31532.71,-75059.77
2340,10134.97,25004.53,36163.18,-26969.25,-238631.35,12205.82,138233.57,-32334.37,1041.65,-43858.52,-31292.72,-75151.24
2350,9902.17,24981.38,35980.31,-27070.84,-238181.23,12268.82,138246.15,-32582.99,1042.49,-43873.24,-31540.5,-75413.74
2360,10066.56,25070.62,36073.7,-26993.52,-238702.16,12180.52,138537.85,-32540.48,1048.36,-43766.43,-31492.13,-75258.55
2370,10049.65,25246.0,36145.26,-27001.94,-238561.28,12236.89,138248.35,-32413.98,1052.48,-43637.06,-31361.5,-74998.56
2380,9981.06,25011.44,36058.13,-26854.84,-238968.16,12236.58,138467.05,-32306.21,1045.12,-44068.75,-31261.08,-75329.84
2390,9997.33,25328.24,36066.24,-26942.27,-238471.85,12244.21,138499.1,-32767.5,1056.04,-43279.0,-31711.46,-74990.45
2400,9955.45,25188.21,36069.88,-27009.23,-238305.11,12172.47,138386.37,-32684.27,1050.35,-43541.96,-31633.92,-75175.88
2410,9938.94,25095.9,36096.52,-26863.73,-237780.98,12259.9,138396.57,-33268.1,1060.4,-42856.87,-32207.7,-75064.58
2420,10045.0,25228.97,35994.8,-26985.61,-238251.77,12211.27,138551.62,-33000.75,1056.61,-43205.72,-31944.14,-75149.86
